1	24061361	第1章 D

2	24061362	第2章 牧場往事

3	24061363	第3章 熱湯面

4	24061364	第4章 故勒頓

5	24061365	第5章 后山

6	24061366	第6章 賺到的第一筆錢

7	24061367	第7章 開局撿到神獸是種什么體驗

8	24061368	第8章 過去之神 故勒頓

9	24061369	第9章 故勒頓倒拔垂楊柳

10	24061370	第10章 魚群

11	24061371	第11章 綠毛蟲專屬強化

12	24061372	第12章 蟲絲的強化效果

13	24061373	第13章 種田,還是種田

14	24061374	第14章 牧場的新成員+1

15	24061375	第15章 魚遭老罪了

16	24061376	第16章 特殊的料理,綠毛蟲的變化

17	24061377	第17章 過去的摩托蜥,未來的故勒頓

18	24061378	第18章 倒霉的訓練家

19	24061379	第19章 綠毛蟲vs信使鳥

20	24061380	第20章 建造雞小屋

21	24061381	第21章 牧場主?資本家

22	24061382	第22章 人類無法食用的料理

23	24061383	第23章 雞

24	24061384	第24章 美味的霜奶仙

25	24061385	第25章 逐漸熱鬧起來的牧場

26	24061386	第26章 焦糖風味的奶油水果蛋糕

27	24061387	第27章 雞哥的專屬強化

28	24061388	第28章 意外來客

29	24061389	第29章 決意

30	24061390	第30章 朱紫之書

31	24061391	第31章 可視電話

32	24061392	第32章 熟悉

33	24061393	第33章 大鍋湖的寶可夢們

34	24061394	第34章 神秘的寶可夢

35	24061395	第35章 目標的選擇

36	24061396	第36章 釣鹽石寶

37	24061397	第37章 肥大

38	24061398	第38章 努力與收獲

39	24061399	第39章 S級的牛奶粥

40	24061400	第40章 鹽石寶,入駐

41	24061401	第41章 坐騎小羊向我證明你的實力吧

42	24061402	第42章 牧場的新成員+1+1+1

43	24061403	第43章 擠奶

44	24061404	第44章 笨龍先飛

45	24061405	第45章 羊奶到貨

46	24061406	第46章 羊奶品質upup

47	24061407	第47章 送貨員

48	24061408	第48章 坐騎小羊爆誕

49	24061409	第49章 摩托蜥與龍尾

50	24061410	第50章 穩步發展

51	24061411	第51章 快龍的決定

52	24061412	第52章 信

53	24061413	第53章 友人拜訪

54	24061414	第54章 收獲日

55	24061415	第55章 星與月之夜,鐵甲蛹之蛻變

56	24061416	第56章 櫻桃花酒會(4000)

57	24061417	第57章 你這料理吃了咋會噴火?

58	24061418	第58章 花酒會落幕

59	24061419	第59章 劍之王(偽)

60	24061420	第60章 快龍找到了竅門

61	24061421	第61章 祈雨一萬次,練成絕世神功(4000)

62	24061422	第62章 三蜜蜂與蜂蜜

63	24061423	第63章 小偷抓捕計劃

64	24061424	第64章 捕獲,月夜小偷(4000)

65	24061425	第65章 坐騎小羊的肥胖問題

66	24061426	第66章 喬伊小姐你這精靈合法嗎?

67	24061427	第67章 電話(4000)

68	24061428	第68章 電視

69	24061429	第69章 關于床被壓塌了這件事

70	24061430	第70章 學習寶芬

71	24061431	第71章 海豚與海豚俠

72	24061432	第72章 寶芬的效果

73	24061433	第73章 熊寶寶的秘密

74	24061434	第74章熊寶寶我被白嫖了?(4000)

75	24061435	第75章 特殊土壤

76	24061436	第76章 大奶罐

77	24061437	第77章 幸運布丁

78	24061438	第78章 好運

79	24061440	第79章 飛盤游戲

80	24061441	第80章 臺風過境

81	24061442	第81章 風雨夜,見證傳說

82	24061443	第82章 龍之舞

83	24061444	第83章 修繕工作

84	24061445	第84章 快龍母快龍只會影響我拔劍的速度

85	24061446	第85章 旅行熊熊為您帶回來了一件禮物

86	24061447	第86章 大奶罐的牛奶(4000)

87	24061448	第87章 你見過會發光的坐騎小羊嗎?

88	24061449	第88章 超級藤鞭

89	24061450	第89章 尋寶尋到牧場來了?

90	24061451	第90章 你愿意成為我的寶可夢嗎?

91	24061452	第91章 進化坐騎山羊誕生

92	24061453	第92章 名為青草領域

93	24061454	第93章 春日牛羊評比大賽

94	24061455	第94章 蜂蜜小面包

95	24061456	第95章 生日禮物

96	24061457	第96章 熊寶寶與“大俠”

97	24061458	第97章 旅行的熊

98	24061459	第98章 摩托蜥與快龍

99	24061460	第99章 世界那么大

100	24061461	第100章 離開前的準備

101	24061462	第101章 腳底抹油無敵的技能

102	24061463	第102章 花田

103	24061464	第103章 快龍想要回到快龍島?

104	24061465	第104章 龍王回歸之日(4000)

105	24061466	第105章 快龍的愛情

106	24061467	第106章 歸巢

107	24061468	第107章 沒有馬的日子里

108	24061469	第108章 準備

109	24061470	第109章 霜抹山

110	24061471	第110章 雪山上的奇怪訓練家(4000)

111	24061472	第111章 你怎么可能是個鄉下的農夫?

112	24061473	第112章 霜抹之手下的隱秘洞窟

113	24061474	第113章 冰伊布和冰雪石(4000)

114	24061475	第114章 熊寶寶的明信片(三更

115	24061476	第115章 好朋友

116	24061477	第116章 牧場中的發電問題

117	24061478	第117章 悠閑的一日

118	24061479	第118章 雨夜

119	24061480	第119章 吃醋的故勒頓

120	24061481	第120章 春季賽馬,開場

121	24061482	第121章 目標,靈幽馬與雪暴馬

